year,artist,percentage_of_year
1958,Conway Twitty,9.09
1958,Domenico Modugno,22.73
1958,Ricky Nelson,9.09
1958,The Chipmunks With David Seville,9.09
1958,The Elegants,4.55
1958,The Kingston Trio,4.55
1958,The Teddy Bears,13.64
1958,Tommy Edwards,27.27
1959,Bobby Darin,17.31
1959,"Dave ""Baby"" Cortez",1.92
1959,Elvis Presley With The Jordanaires,3.85
1959,Frankie Avalon,11.54
1959,Guy Mitchell,3.85
1959,Johnny Horton,11.54
1959,Lloyd Price,7.69
1959,Paul Anka,7.69
1959,Santo & Johnny,3.85
1959,The Browns,7.69
1959,The Chipmunks With David Seville,3.85
1959,The Fleetwoods,9.62
1959,The Platters,5.77
1959,Wilbert Harrison,3.85
1960,Brenda Lee,7.69
1960,Brian Hyland,1.92
1960,Chubby Checker,1.92
1960,Connie Francis,7.69
1960,Elvis Presley With The Jordanaires,26.92
1960,Hollywood Argyles,1.92
1960,Johnny Preston,5.77
1960,Larry Verne,1.92
1960,Mark Dinning,3.85
1960,Marty Robbins,3.85
1960,Maurice Williams & The Zodiacs,1.92
1960,Percy Faith And His Orchestra,17.31
1960,Ray Charles,1.92
1960,The Drifters,5.77
1960,The Everly Brothers,9.62
1961,Bert Kaempfert And His Orchestra,5.77
1961,Bobby Lewis,13.46
1961,Bobby Vee,5.77
1961,Chubby Checker,5.77
1961,Del Shannon,7.69
1961,Dion,3.85
1961,Elvis Presley With The Jordanaires,5.77
1961,Ernie K-Doe,1.92
1961,Jimmy Dean,9.62
1961,Joe Dowell,1.92
1961,Lawrence Welk And His Orchestra,3.85
1961,Pat Boone,1.92
1961,Ray Charles and his Orchestra,3.85
1961,Ricky Nelson,3.85
1961,Roy Orbison,1.92
1961,The Highwaymen,3.85
1961,The Marcels,5.77
1961,The Marvelettes,1.92
1961,The Shirelles,3.85
1961,The Tokens,3.85
1961,U.S. Bonds,3.85
1962,"Bobby ""Boris"" Pickett And The Crypt-Kickers",3.85
1962,Bobby Vinton,7.69
1962,Bruce Channel,5.77
1962,Chubby Checker,3.85
1962,Connie Francis,1.92
1962,David Rose and His Orchestra,1.92
1962,Elvis Presley With The Jordanaires,3.85
1962,Gene Chandler,5.77
1962,Joey Dee & the Starliters,5.77
1962,Little Eva,1.92
1962,Mr. Acker Bilk,1.92
1962,Neil Sedaka,3.85
1962,Ray Charles,9.62
1962,Shelley Fabares,3.85
1962,The 4 Seasons,19.23
1962,The Crystals,3.85
1962,The Shirelles,5.77
1962,The Tokens,1.92
1962,The Tornadoes,3.85
1962,Tommy Roe,3.85
1963,Bobby Vinton,5.77
1963,Dale & Grace,3.85
1963,Jan & Dean,3.85
1963,Jimmy Gilmer And The Fireballs,9.62
1963,Jimmy Soul,3.85
1963,Kyu Sakamoto,5.77
1963,Lesley Gore,3.85
1963,Little Peggy March,5.77
1963,Little Stevie Wonder,5.77
1963,Nino Tempo & April Stevens,1.92
1963,Paul and Paula,5.77
1963,Ruby And The Romantics,1.92
1963,Steve Lawrence,3.85
1963,The 4 Seasons,5.77
1963,The Angels,5.77
1963,The Chiffons,7.69
1963,The Essex,3.85
1963,The Rooftop Singers,3.85
1963,The Singing Nun (Soeur Sourire),7.69
1963,The Tornadoes,1.92
1963,The Tymes,1.92
1964,Bobby Vinton,9.62
1964,Dean Martin,1.92
1964,Lorne Greene,1.92
1964,Louis Armstrong And The All Stars,1.92
1964,Manfred Mann,3.85
1964,Mary Wells,3.85
1964,Peter And Gordon,1.92
1964,Roy Orbison And The Candy Men,5.77
1964,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",3.85
1964,The Animals,5.77
1964,The Beach Boys,3.85
1964,The Beatles,34.62
1964,The Dixie Cups,5.77
1964,The Shangri-Las,1.92
1964,The Supremes,13.46
1965,Barry McGuire,1.92
1965,Four Tops,3.85
1965,Freddie And The Dreamers,3.85
1965,Gary Lewis And The Playboys,3.85
1965,Herman's Hermits,7.69
1965,Petula Clark,3.85
1965,Sonny & Cher,5.77
1965,The Beach Boys,3.85
1965,The Beatles,23.08
1965,The Byrds,7.69
1965,The Dave Clark Five,1.92
1965,The McCoys,1.92
1965,The Righteous Brothers,3.85
1965,The Rolling Stones,11.54
1965,The Supremes,11.54
1965,The Temptations,1.92
1965,Wayne Fontana & The Mindbenders,1.92
1966,? (Question Mark) & The Mysterians,1.89
1966,Donovan,1.89
1966,Four Tops,3.77
1966,Frank Sinatra,1.89
1966,Johnny Rivers,1.89
1966,Lou Christie,1.89
1966,Nancy Sinatra,1.89
1966,Percy Sledge,3.77
1966,Petula Clark,3.77
1966,SSgt Barry Sadler,9.43
1966,Simon & Garfunkel,3.77
1966,The Association,5.66
1966,The Beach Boys,1.89
1966,The Beatles,9.43
1966,The Lovin' Spoonful,5.66
1966,The Mamas & The Papas,5.66
1966,The Monkees,3.77
1966,The New Vaudeville Band,5.66
1966,The Righteous Brothers,5.66
1966,The Rolling Stones,3.77
1966,The Supremes,7.55
1966,The Troggs,3.77
1966,The Young Rascals,1.89
1966,Tommy James And The Shondells,3.77
1967,Aretha Franklin,3.85
1967,Bobbie Gentry,7.69
1967,Lulu,9.62
1967,Nancy Sinatra & Frank Sinatra,7.69
1967,Strawberry Alarm Clock,1.92
1967,The Association,7.69
1967,The Beatles,5.77
1967,The Box Tops,7.69
1967,The Buckinghams,3.85
1967,The Doors,5.77
1967,The Monkees,19.23
1967,The Rolling Stones,1.92
1967,The Supremes,3.85
1967,The Turtles,5.77
1967,The Young Rascals,7.69
1968,Archie Bell & The Drells,3.85
1968,Bobby Goldsboro,9.62
1968,Diana Ross & The Supremes,3.85
1968,Herb Alpert,7.69
1968,Hugh Masekela,3.85
1968,Jeannie C. Riley,1.92
1968,John Fred And The Playboys,3.85
1968,Marvin Gaye,5.77
1968,Otis Redding,7.69
1968,Paul Mauriat And His Orchestra,9.62
1968,Simon & Garfunkel,5.77
1968,The Beatles,21.15
1968,The Doors,3.85
1968,The Lemon Pipers,1.92
1968,The Rascals,9.62
1969,Diana Ross & The Supremes,1.92
1969,Elvis Presley,1.92
1969,Henry Mancini And His Orchestra,3.85
1969,Marvin Gaye,7.69
1969,"Peter, Paul & Mary",1.92
1969,Sly & The Family Stone,7.69
1969,Steam,3.85
1969,The 5th Dimension,17.31
1969,The Archies,7.69
1969,The Beatles,1.92
1969,The Beatles With Billy Preston,9.62
1969,The Rolling Stones,7.69
1969,The Temptations,3.85
1969,Tommy James And The Shondells,3.85
1969,Tommy Roe,7.69
1969,Zager & Evans,11.54
1970,B.J. Thomas,7.69
1970,Bread,1.92
1970,Carpenters,7.69
1970,Diana Ross,5.77
1970,Edwin Starr,5.77
1970,George Harrison,1.92
1970,Jackson 5,19.23
1970,Neil Diamond,1.92
1970,Ray Stevens,3.85
1970,Simon & Garfunkel,11.54
1970,Sly & The Family Stone,3.85
1970,Smokey Robinson & The Miracles,3.85
1970,The Beatles,7.69
1970,The Guess Who,5.77
1970,The Partridge Family Starring Shirley Jones Featuring David Cassidy,5.77
1970,The Shocking Blue,1.92
1970,Three Dog Night,3.85
